"player_name","player_id","year","xwoba","xba","xslg","xiso","xobp","brl","brl_percent","exit_velocity","max_ev","hard_hit_percent","k_percent","bb_percent","whiff_percent","chase_percent","arm_strength","sprint_speed","oaa","bat_speed","squared_up_rate","swing_length"
"Rosario, Eguy","666703","2024",,,,,,,,,32,,,,,,,59,,,,
"Paris, Kyren","677347","2024",,,,,,,,,64,,,,,,38,90,,,,
"Hicks, Aaron","543305","2024",,,,,,,,,17,,,,,,,42,,,,
"Dezenzo, Zach","701305","2024",,,,,,,,,49,,,,,,,78,,,,
"Wendzel, Davis","673995","2024",,,,,,,,,26,,,,,,,47,,,,
"Vilade, Ryan","668723","2024",,,,,,,,,32,,,,,,,83,,,,
"Dahl, David","621311","2024",,,,,,,,,19,,,,,,,45,,,,
"Hayes, Ke'Bryan","663647","2024",7,35,7,4,16,3,3,45,65,66,66,19,84,51,24,26,90,,,
"Thomas, Lane","657041","2024",43,48,29,24,64,37,39,43,72,54,27,61,58,88,94,93,3,44,71,94
"O'Hoppe, Logan","681351","2024",71,63,81,81,39,74,80,70,79,81,9,19,8,16,,73,,28,21,52
"Jung, Jace","690291","2024",,,,,,,,,30,,,,,,,15,,,,
"Crews, Dylan","686611","2024",,,,,,,,,56,,,,,,,91,,,,
"Ruiz, Esteury","665923","2024",,,,,,,,,58,,,,,,,95,,,,
"Ramos, Bryan","682868","2024",,,,,,,,,23,,,,,,,90,,,,
"Serven, Brian","661531","2024",,,,,,,,,17,,,,,,,19,,,,
"Arraez, Luis","650333","2024",67,99,52,6,87,6,1,10,40,2,100,3,100,10,14,28,1,1,100,100
"Busch, Michael","683737","2024",51,11,57,73,39,70,76,57,47,45,9,88,22,82,1,49,83,22,50,52
"Schunk, Aaron","668845","2024",,,,,,,,,45,,,,,,38,67,,,,
"Dalbec, Bobby","666915","2024",,,,,,,,,34,,,,,,,84,,,,
"Dingler, Dillon","693307","2024",,,,,,,,,34,,,,,,,51,,,,
"Del Castillo, Adrian","680728","2024",,,,,,,,,21,,,,,,,10,,,,
"Westburg, Jordan","676059","2024",88,92,92,84,71,78,82,84,75,83,48,9,22,31,28,91,16,36,74,91
"Baddoo, Akil","668731","2024",,,,,,,,,53,,,,,,56,73,,,,
"Aranda, Jonathan","666018","2024",,,,,,,,,65,,,,,,,19,,,,
"Walker, Christian","572233","2024",87,43,83,87,79,87,91,78,91,85,30,77,39,80,3,23,97,90,6,20
"Dubón, Mauricio","643289","2024",4,46,8,4,9,5,4,11,39,6,94,2,81,2,81,48,93,17,77,13
"Albies, Ozzie","645277","2024",34,54,39,35,30,34,31,39,91,15,84,23,72,18,4,42,21,13,72,63
"Short, Zack","670097","2024",,,,,,,,,46,,,,,,,37,,,,
"Palacios, Joshua","641943","2024",,,,,,,,,40,,,,,,,72,,,,
"Bogaerts, Xander","593428","2024",39,77,38,21,45,26,25,24,76,17,78,25,85,71,11,53,91,,,
"Stephenson, Tyler","663886","2024",56,37,54,55,62,61,63,67,72,66,53,64,69,77,,29,,30,94,39
"Cabbage, Trey","663550","2024",,,,,,,,,90,,,,,,92,66,,,,
"Urías, Luis","649966","2024",,,,,,,,,24,,,,,,25,18,,,,
"Fermín, José","665877","2024",,,,,,,,,19,,,,,,,92,,,,
"Riley, Austin","663586","2024",92,81,93,92,77,89,94,96,94,96,28,49,31,51,36,67,15,90,46,31
"Jansen, Danny","643376","2024",,,,,,,,,29,,,,,,,29,,,,
"Meyers, Jake","676694","2024",44,37,49,50,36,48,47,45,60,43,35,28,32,30,44,89,98,13,43,81
